Student_ID,Name,Email,Phone,Course,Fee_Paid,City,Enrolled_Date
STU1003,Ravi Kumar,INVALID_EMAIL,9123456789,Python,TRUE,Madurai,2025-02-19
STU1005,Karthik,INVALID_EMAIL,MISSING,Python,TRUE,UNKNOWN,2025-02-08
STU1007,Suresh T,INVALID_EMAIL,7654321098,Python,FALSE,Trichy,2025-01-14
STU1009,Rajesh Kk,INVALID_EMAIL,8877665544,Python,TRUE,Coimbatore,2025-05-15
STU1012,Meena D,INVALID_EMAIL,MISSING,Machine Learning,TRUE,Salem,2025-02-21
STU1017,Dinesh R,INVALID_EMAIL,8080808080,Data Science,TRUE,Madurai,2025-02-23
STU1019,Bala K,INVALID_EMAIL,7070707070,Machine Learning,FALSE,Salem,2025-06-12
STU1020,Revathi M,INVALID_EMAIL,9191919191,Machine Learning,TRUE,Trichy,2025-06-12
STU1022,Geetha,INVALID_EMAIL,9393939393,Data Science,FALSE,Coimbatore,2025-05-08
STU1025,Senthil K,INVALID_EMAIL,,Python,FALSE,Trichy,2025-05-15
STU1029,Gopal V,INVALID_EMAIL,9010101010,Python,TRUE,Coimbatore,2025-01-12
STU1035,Karthi P,INVALID_EMAIL,7565656565,Python,TRUE,Coimbatore,2025-02-14
STU1037,Venkat R,INVALID_EMAIL,8787878787,Python,FALSE,Trichy,2025-02-12
STU1040,Dharani S,INVALID_EMAIL,7909090909,Data Science,FALSE,UNKNOWN,2025-04-19
STU1042,Padma V,INVALID_EMAIL,9121212121,Python,TRUE,Coimbatore,2025-03-22
STU1045,Selvam K,INVALID_EMAIL,8343434343,Machine Learning,TRUE,Salem,2025-02-28
STU1049,Suresh B,INVALID_EMAIL,,Python,FALSE,Madurai,2025-04-20
